Subsector,Appalachia,Plastics and Rubber Products Manufacturing,Primary Metal Manufacturing,Fabricated Metal Product Manufacturing,Machinery Manufacturing,"Electrical Equipment, Appliance and Component Manufacturing",,,,State
Philadelphia,No,40,51,167,43,85,385,,385.1856681,PA
York,No,290,219,345,315,95,"1,264",,1264.374618,PA
Barbour,Yes,8,0,0,0,0,9,,9,WV
Berkeley,Yes,87,0,5,0,1,93,,93,WV
Boone,Yes,0,0,1,0,0,1,,1,WV
Braxton,Yes,0,0,1,0,0,1,,1,WV
Brooke,Yes,0,0,75,0,0,75,,75,WV
Cabell,Yes,7,0,46,0,22,76,,76,WV
Calhoun,Yes,0,0,0,0,0,0,,0,WV
Clay,Yes,0,0,3,0,0,3,,3,WV
Doddridge,Yes,0,0,0,0,0,0,,0,WV
Fayette,Yes,13,0,4,0,0,17,,17,WV
Gilmer,Yes,1,0,0,0,0,1,,1,WV
Grant,Yes,0,0,7,0,0,7,,7,WV
Greenbrier,Yes,9,0,0,0,0,9,,9,WV
Hampshire,Yes,0,0,0,0,0,0,,0,WV
Hancock,Yes,32,0,2,0,1,34,,34,WV
Hardy,Yes,20,0,1,0,0,20,,20,WV
Harrison,Yes,7,0,11,0,1,18,,18,WV
Jackson,Yes,0,0,5,0,0,5,,5,WV
Jefferson,Yes,25,0,5,0,0,31,,31,WV
Kanawha,Yes,13,0,15,0,27,56,,56,WV
Lewis,Yes,28,0,0,0,0,28,,28,WV
Lincoln,Yes,0,0,0,0,0,0,,0,WV
Logan,Yes,0,0,17,0,6,24,,24,WV
Marion,Yes,10,0,23,0,22,55,,55,WV
Marshall,Yes,25,0,22,0,0,48,,48,WV
Mason,Yes,22,0,4,0,0,26,,26,WV
McDowell,Yes,0,0,0,0,0,0,,0,WV
Mercer,Yes,7,0,23,0,1,31,,31,WV
Mineral,Yes,37,0,5,0,0,41,,41,WV
Mingo,Yes,0,0,1,0,0,1,,1,WV
Monongalia,Yes,0,0,17,0,43,60,,60,WV
Monroe,Yes,0,0,0,0,0,0,,0,WV
Morgan,Yes,0,0,0,0,0,0,,0,WV
Nicholas,Yes,4,0,5,0,0,9,,9,WV
Ohio,Yes,20,0,29,0,0,50,,50,WV
Pendleton,Yes,0,0,1,0,0,1,,1,WV
Pleasants,Yes,29,0,3,0,0,32,,32,WV
Pocahontas,Yes,0,0,0,0,0,0,,0,WV
Preston,Yes,0,0,5,0,0,5,,5,WV
Putnam,Yes,26,0,32,0,0,58,,58,WV
Raleigh,Yes,22,0,7,0,34,63,,63,WV
Randolph,Yes,0,0,2,0,0,2,,2,WV
Ritchie,Yes,44,0,0,0,0,44,,44,WV
Roane,Yes,2,0,0,0,0,2,,2,WV
Summers,Yes,0,0,1,0,0,1,,1,WV
Taylor,Yes,20,0,0,0,0,20,,20,WV
Tucker,Yes,0,0,1,0,0,1,,1,WV
Tyler,Yes,0,0,5,0,0,5,,5,WV
Upshur,Yes,0,0,1,0,0,1,,1,WV
Wayne,Yes,2,0,2,0,10,14,,14,WV
Webster,Yes,0,0,0,0,0,0,,0,WV
Wetzel,Yes,0,0,0,0,0,0,,0,WV
Wirt,Yes,0,0,0,0,0,0,,0,WV
Wood,Yes,93,0,24,0,1,118,,118,WV
Wyoming,Yes,1,0,5,0,0,5,,5,WV
